gene,gene_name,zscore,pvalue,pred_perf_R2,VAR_g,n,covariance_n,model_n
PPFIBP1,PPFIBP1,0.642205828611,0.520739549042,0.0174304726645,0.0132325911229,16,16,16
SH3GLB1,SH3GLB1,0.642184838758,0.520753175868,0.0853209358445,0.0508465226187,5,5,5
RPUSD3,RPUSD3,0.642050424806,0.520840443127,0.0966330754257,0.0897642328144,96,96,96
SLC25A24,SLC25A24,0.641840599069,0.520976685981,0.239270439676,0.160306419749,33,33,33
TRIP12,TRIP12,-0.641698961579,0.521068663605,0.0289916530777,0.0142816447895,6,6,6
EBPL,EBPL,0.641515972825,0.521187506602,0.590309254416,0.480067884077,34,34,34
SCGB1C1,SCGB1C1,0.641479585377,0.521211140283,0.0919349841535,0.07766522595,32,33,33
SLC2A8,SLC2A8,0.641341751842,0.521300668291,0.289994602792,0.282898432627,51,51,51
DPH5,DPH5,-0.641294489736,0.521331368609,2.31205929229e-06,0.000658616759754,4,4,4
TBC1D4,TBC1D4,-0.641210960992,0.521385629131,0.387918387699,0.298959763329,35,35,35
PDHA2,PDHA2,0.64119004723,0.521399215228,0.00295876226975,0.00313601558707,11,11,11
PIGW,PIGW,-0.641159337366,0.521419165446,0.0435180922092,0.0178144824117,5,5,5
PIM3,PIM3,0.641125635089,0.521441060094,0.208749689376,0.1721282148,30,30,30
WDR45L,WDR45L,0.64106920512,0.521477720821,0.125974619364,0.111413393696,42,43,43
GLT8D1,GLT8D1,-0.640934206702,0.521565430312,0.0264897547775,0.0131552218726,38,38,38
GATC,GATC,-0.640820172919,0.521639524834,0.315460346998,0.255093103618,46,47,47
CDK5RAP1,CDK5RAP1,0.640673974695,0.521734526425,0.00216086012921,0.00311701906538,7,7,7
SNX21,SNX21,-0.64047079437,0.521866570536,0.192924129861,0.169438936611,64,66,66
MELK,MELK,0.639966883671,0.522194129352,0.00186560324869,0.000460560497661,6,6,6
SPG7,SPG7,-0.639806454385,0.52229843593,0.386610488689,0.305183462168,27,27,27
SDCCAG8,SDCCAG8,0.639728625961,0.522349041624,0.217125641437,0.208180518476,52,53,53
SHC1,SHC1,-0.639245908912,0.522662970774,0.127093702918,0.0742729213544,46,47,47
PANX2,PANX2,0.638911425176,0.522880555023,0.177702156584,0.0898142424042,41,42,42
KCNE3,KCNE3,-0.638784638637,0.5229630428,0.169734113245,0.119672275352,17,17,17
MMP14,MMP14,-0.638696146085,0.52302062033,0.0370830745985,0.0160327187288,13,13,13
BCAR3,BCAR3,0.638265592905,0.523300805465,0.0223655124696,0.00861494461704,8,8,8
PRKCZ,PRKCZ,-0.638213577496,0.523334660027,0.0502978926616,0.0315296877567,40,40,40
NUDT6,NUDT6,0.638078470222,0.523422600712,0.0232739483705,0.0168372577613,16,16,16
CALHM2,CALHM2,0.638069007082,0.523428760509,0.310561989543,0.259181375291,80,80,80
IGF1R,IGF1R,-0.637785785483,0.523613133825,0.10202522049,0.0736267531257,37,37,37
SERPINA1,SERPINA1,-0.637758414399,0.523630953784,0.351858498662,0.270183640986,38,38,38
AVL9,AVL9,-0.63761557196,0.523723956481,0.2311148144,0.176904117939,76,77,77
CDC42EP4,CDC42EP4,0.63752168533,0.523785089356,0.012964560467,0.0465062264801,85,86,86
EFHA1,EFHA1,-0.637287283389,0.523937732643,0.0899616956327,0.072892025377,27,27,27
RGL1,RGL1,0.637258366486,0.523956565002,0.0546412395726,0.0653434381366,66,67,67
SYBU,SYBU,-0.637237213562,0.523970341229,0.0216088649441,0.0250592156265,28,29,29
SUSD2,SUSD2,0.637195354746,0.523997603093,0.243514600831,0.248873058643,68,69,69
FSD1,FSD1,-0.637135048399,0.524036880766,0.071532490762,0.0622823855279,34,34,34
MMAA,MMAA,0.636857105085,0.524217925443,0.110927678618,0.0782616767932,15,15,15
CCDC61,CCDC61,0.636621643602,0.524371323692,0.0874568304587,0.059415830829,14,14,14
CDK11A,CDK11A,-0.636495082392,0.524453785185,0.000917755656797,0.00320862643638,14,14,14
HSPA14,HSPA14,-0.636400154654,0.524515640116,0.0015995210111,0.00878278986007,28,28,28
ZNF329,ZNF329,-0.636100122538,0.524711165663,0.110818672245,0.115327586185,47,47,47
PF4V1,PF4V1,0.636099114238,0.524711822817,0.578113012089,0.570416445886,37,37,37
SATB1,SATB1,0.635989642535,0.524783172901,0.0527004216574,0.0382707112804,29,29,29
